,name,desc
0,Netezza,IBMNetezza:high-performancedatawarehouseappliances
1,Accumulo,"ApacheAccumulo:distribuitedkey/valuestore,builton Hadoop"
2,Monet,MonetDB:columnstoredatabase
3,Proxy,ProxySQL:HighPerformanceProxyforMySQL
4,Level,LevelDB:afastkey-valuestoragelibrarywrittenatGooglethatprovidesanorderedmappingfromstringkeystostringvalues
5,Cosmos,MicrosoftCosmos:MicrosoftsinternalBigDataanalysisplatform
6,Memcache,MemcacheDB:adistributedkey-valuestoragesystemdesignedforpersistent
7,Stream,"MicrosoftAzureStreamAnalytics:aneventprocessingenginethathelpsuncoverreal-timeinsightsfromdevices,sensors,infrastructure,applicationsanddata"
8,Pigpen,NetflixPigPen:map-reduceforClojurewhichecompilestoApachePig
9,Zalonibedrock,ZaloniBedrock:fullyintegratedHadoopdatamanagementplatform
10,Peity,"Peity:ProgressiveSVGbar,lineandpiecharts"
11,Ayasdicore,AyasdiCore:toolfortopologicaldataanalysis
12,Squarecubism,"SquareCubism.js:aD3pluginforvisualizingtimeseries.UseCubismtoconstructbetterrealtimedashboards,pullingdatafromGraphite,Cubeandothersources"
13,Minotaur,Minotaur:scripts/recipes/configstospinupVPC-basedinfrastructureinAWSfromscratchanddeploylabstoit
14,Keylines,Keylines:toolkitforvisualizingthenetworksinyourdata
15,Unicorn,FacebookUnicorn:socialgraphsearchplatform
16,Akela,"Akela:MozillasutilitylibraryforHadoop,HBase,Pig,etc."
17,Openmpi,OpenMPI:messagepassingframework
18,Eureka,NetflixEureka:AWSServiceregistryforresilientmid-tierloadbalancingandfailover
19,Machinelearning,AmazonMachineLearning:visualizationtoolsandwizardsthatguideyouthroughtheprocessofcreatingmachinelearning(ML)modelswithouthavingtolearncomplexMLalgorithmsandtechnology
20,Aerospike,"Aerospike:NoSQLflash-optimized,in-memory.Opensourceand“Servercodein‘C(notJavaorErlang)preciselytunedtoavoidcontextswitchingandmemorycopies."
21,Bigtable,GoogleBigTable:column-orienteddistributeddatastore
22,Envisionjs,Envisionjs:dynamicHTML5visualization
23,Discoddfs,DiscoDDFS:distributedfilesystem
24,Hekaton,Hekaton:Refertolock-freearchitectureforSQLServer2014
25,Galera,"GaleraCluster:asynchronousmulti-masterclusterforMySQL,PerconaandMariaDB"
26,Cockroach,"Cockroach:Scalable,Geo-Replicated,TransactionalDatastore"
27,Arrow,ApacheArrow:PoweringColumnarIn-MemoryAnalytics
28,Genie,"Genie:GenieprovidesREST-fulAPIstorunHadoop,HiveandPigjobs,andtomanagemultipleHadoopresourcesandperformjobsubmissionsacrossthem."
29,Presto,FacebookPrestoDB:distributedSQLqueryengine
30,Concurrentcascading,ConcurrentCascading:frameworkfordatamanagement/analyticsonHadoop
31,Elasticsearch,ElasticSearch:SearchandanalyticsenginebasedonApache Lucene
32,Periscope,"Periscope:plugsdirectlyintoyourdatabasesandletsyourun,save,andshareanalysesoverbillionsofdatarowsinseconds"
33,Zillabyte,Zillabyte:anAPIfordistributeddatacomputation.Scalewithyourdata.
34,Torch,Torch:ScientificcomputingforLuaJIT
35,Ipython,IPython:providesaricharchitectureforinteractivecomputing
36,Crane,TwitterCrane:JavaETL
37,Atigeoxpatterns,AtigeoxPatterns:dataanalyticsplatform
38,Cratedata,CrateData:isanopensourcemassivelyscalabledatastore.Itrequireszeroadministration
39,Squarecube,SquareCube:systemforcollectingtimestampedeventsandderivingmetrics
40,Marconi,"Marconi:queuingandnotificationservicemadebyandforOpenStack,butnotonlyforit"
41,Neflixsimianarmy,NeflixSimianArmy:asuiteoftoolsforkeepingyourcloudoperatingintopform
42,Vertica,"Vertica:isdesignedtomanagelarge,fast-growingvolumesofdataandprovideveryfastqueryperformancewhenusedfordatawarehouses"
43,Brain,brain:NeuralnetworksinJavaScript
44,Symmetricds,SymmetricDS:opensourcesoftwareforbothfileanddatabasesynchronization
45,Springfor,"SpringforApacheHadoop:unifiedconfigurationmodelandeasytouseAPIsforusingHDFS,MapReduce,Pig,andHive"
46,Rethink,RethinkDB:documentdatabasethatsupportsqueriesliketablejoinsandgroupby
47,Mongo,MongoDB:Document-orienteddatabasesystem
48,Adatao,Adatao:businessintelligenceanddatascienceplatform
49,Spindle,"AdobeSpindle:Next-generationwebanalyticsprocessingwithScala,Spark,andParquet"
50,Ampcrowd,AMPcrowd:ARESTfulwebservicethatrunsmicrotasksacrossmultiplecrowds
51,Colossus,GoogleColossus:distributedfilesystem(GFS2)
52,Scalding,"TwitterScalding:ScalalibraryforMapReducejobs,builtonCascading"
53,Redshift,"AmazonRedShift:datawarehouseservice,basedonPostgreSQL"
54,Chronix,Chronix:fastandefficienttimeseriesstoragebasedonApacheLuceneandApacheSolr
55,Hystrix,"NetflixHystrix:alatencyandfaulttolerancelibrarydesignedtoisolatepointsofaccesstoremotesystems,servicesand3rdpartylibraries,stopcascadingfailureandenableresilienceincomplexdistributedsystemswherefailureisinevitable"
56,Splunk,Splunk:analyzerformachine-generateddate
57,Hcatalog,ApacheHCatalog:tableandstoragemanagementlayerforHadoop
58,Datawarehouse,"MicrosoftAzureSQLDataWarehouse:businessesaccesstoanelasticpetabyte-scale,datawarehouse-as-a-serviceofferingthatcanscaleaccordingtotheirneeds"
59,Predictionio,"PredictionIO:machinelearningserverbuitonHadoop,MahoutandCascading"
60,Manhattan,"TwitterManhattan:real-time,multi-tenantdistributeddatabaseforTwitterscale"
61,Celery,Celery:DistributedTaskQueue
62,Zeppelin,ApacheZeppelin:aweb-basednotebookthatenablesinteractivedataanalytics
63,Voldemort,LinkedinVoldemort:distributedkey/valuestoragesystem
64,Cortana,MicrosoftCortanaAnalytics:afullymanagedbigdataandadvancedanalyticssuitethatenablesyoutotransformyourdataintointelligentaction.
65,Sense,Sense:CloudPlatformforDataScienceandBigDataAnalytics
66,Pubnub,Pubnub:Datastreamnetwork
67,Tumblrcollins,TumblrCollins:Infrastructuremanagementforengineers
68,Tensorflow,GoogleTensorFlow:anOpenSourceSoftwareLibraryforMachineIntelligence
69,Scalaris,Scalaris:adistributedtransactionalkey-valuestore
70,Secor,PinterestSecor:isaserviceimplementingKafkalogpersistance
71,Finagle,TwitterFinagle:asynchronousnetworkstackfortheJVM
72,Maria,"MariaDB:enhanced,drop-inreplacementforMySQL"
73,Teradataquerygrid,TeradataQueryGrid:data-accesslayerthatcanorchestratemultiplemodesofanalysisacrossmultipledatabasesplusHadoop
74,Storagenearline,"GoogleCloudStorageNearline:ahighlyavailable,affordablesolutionforbackup,archivinganddisasterrecovery."
75,Kubernetes,Kubernetes:opensourceimplementationofcontainerclustermanagement
76,Esper,"Esper:ahighlyscalable,memory-efficient,in-memorycomputing,SQL-standard,minimallatency,real-timestreaming-capableBigDataprocessingengineforhistoricaldata"
77,Gremlin,Gremlin:graphtraversalLanguage
78,Tokumx,TokuMX:High-PerformanceMongoDBDistribution
79,Perconaserver,"PerconaServer:enhanced,drop-inreplacementforMySQL"
80,Streamdrill,Streamdrill:usefullforcountingactivitiesofeventstreamsoverdifferenttimewindowsandfindingthemostactiveone
81,Deeptext,"FacebookDeepText:adeeplearning-basedtextunderstandingenginethatcanunderstandwithnear-humanaccuracythetextualcontentofseveralthousandspostspersecond,spanningmorethan20languages"
82,Chartio,Chartio:leanbusinessintelligenceplatformtovisualizeandexploreyourdata
83,Trident,Trident:ahigh-levelabstractionfordoingrealtimecomputingontopofStorm
84,Pachyderm,Pachyderm:letsyoustoreandanalyzeyourdatausingcontainers.
85,Theano,Theano:PythonpackagefordeeplearningthatcanutilizeNVIDIAsCUDAtoolkittorunontheGPU
86,Faunus,Faunus:Hadoop-basedgraphanalyticsengineforanalyzinggraphsrepresentedacrossamulti-machinecomputecluster
87,Apamaanalytics,Apamaanalytics:platformforstreaminganalyticsandintelligentautomatedaction
88,Doradus,"Doradus:DoradusisaRESTservicethatextendsaCassandraNoSQLdatabasewithagraph-baseddatamodel,advancedindexingandsearchfeatures,andaRESTAPI"
89,Scribe,FacebookScribe:streamedlogdataaggregator
90,Hydrabase,FacebookHydraBase:evolutionofHBasemadebyFacebook
91,Carto,CartoDB:open-sourceorfreemiumhostingforgeospatialdatabaseswithpowerfulfront-endeditingcapabilitiesandarobustAPI
92,Berkeley,BerkeleyDB:asoftwarelibrarythatprovidesahigh-performanceembeddeddatabaseforkey/valuedata
93,Damballaparkour,DamballaParkour:MapReducelibraryforClojure
94,Couchbaseforest,CouchbaseForestDB:FastKey-ValueStorageEngineBasedonHierarchicalB+-TreeTrie
95,Spagobi,SpagoBI:opensourcebusinessintelligenceplatform
96,Akiban,Akiban:ToutedasSQLdatabasewithobjectstructuredstorage
97,Sherpa,"YahooSherpa:hosted,distributedandgeographicallyreplicatedkey-valuecloudstorageplatform"
98,Curator,ApacheCurator:JavalibariesforApacheZooKeeper
99,Pydoop,Pydoop:PythonMapReduceandHDFSAPIforHadoop
100,Datomic,"Datomic:distributeddatabasedesignedtoenablescalable,flexibleandintelligentapplications"
101,Brytlyt,Brytlyt:afullyenabledGPGPUdatabasewhichallowsforoffloadingofdatabaseoperationstoGeneralProcessingonGraphicsProcessorUnits.
102,Datalake,MicrosoftAzureDataLake:ahyperscalerepositoryforbigdataanalyticworkloads
103,Apollo,Apollo:ActiveMQsnextgenerationofmessaging
104,Metamarkersdruid,MetamarkersDruid:frameworkforreal-timeanalysisoflargedatasets
105,Caffe,"Caffe:adeeplearningframeworkmadewithexpression,speed,andmodularityinmind.ItisdevelopedbytheBerkeleyVisionandLearningCente"
106,2lemetry,2lemetry:PlatformforInternetofthings
107,Tarantool,Tarantool:anefficientNoSQLdatabaseandaLuaapplicationserver
108,Drools,Drools:aBusinessRulesManagementSystem(BRMS)solution
109,Fluentd,Fluentd:tooltocollecteventsandlogs
110,Oozie,ApacheOozie:workflowjobscheduler
111,Stardog,"Stardog:graphdatabase:search,query,reasoning,andconstraintsinalightweight,pureJavasystem"
112,Cephfilesystem,CephFilesystem:softwarestorageplatformdesigned
113,Everest,YahooEverest:multi-peta-bytedatabase/MPPderivedbyPostgreSQL
114,Grafana,"Grafana:opensource,featurerichmetricsdashboardandgrapheditorforGraphite,InfluxDB&OpenTSDB"
115,Bagel,"ApacheSparkBagel:implementationofPregel,partofSpark"
116,Apceranats,"ApceraNATS:anopen-source,high-performance,lightweightcloudnativemessagingsystem"
117,Webscale,WebScaleSQL:isacollaborationamongengineersfromseveralcompaniesthatfacesimilarchallengesinrunningMySQLatscale
118,Chart,Chart.js:opensourceHTML5Chartsvisualizations
119,Pivotalr,PivotalR:RonPivotalHD/HAWQandPostgreSQL
120,Palantiratlas,PalantirAtlasDB:amassivelyscalabledatastoreandtransactionallayerthatcanbeplacedontopofanykey-valuestoretogiveitACIDproperties
121,Chukwa,ApacheChukwa:datacollectionsystem
122,Jethrodata,JethroData:index-basedSQLengineforHadoop
123,Ambry,LinkedInAmbry:Distributedobjectstore
124,Parselystreamparse,ParselyStreamparse:streamparseletsyourunPythoncodeagainstreal-timestreamsofdata.ItalsointegratesPythonsmoothlywithApacheStorm.
125,Etsysahale,EtsySahale:VisualizingCascadingWorkflowsatEtsy
126,Zeromq,ZeroMQ:TheIntelligentTransportLayer
127,Cubism,Cubism:JavaScriptlibraryfortimeseriesvisualization
128,Exasolution,"Exasolution:anin-memory,column-oriented,relationaldatabasemanagementsystem"
129,Actianvector,ActianVector:column-orientedanalyticdatabase
130,Kamikaze,LinkedInKamikaze:utilitypackageforcompressingsortedintegerarrays
131,Intelgraphbuilder,IntelGraphBuilder:toolstoconstructlarge-scalegraphsontopofHadoop
132,Streams,"IBMStreams:advancedanalyticplatformthatallowsuser-developedapplicationstoquicklyingest,analyzeandcorrelateinformationasitarrivesfromthousandsofreal-timesources"
133,Simplequeueservice,"AmazonSimpleQueueService:fast,reliable,scalable,fullymanagedqueueservice"
134,Orient,OrientDB:documentandgraphdatabase
135,Lumos,LinkedinLumos:bridgefromOLTPtoOLAPforuseitonHadoop
136,Stratosphere,Stratosphere:generalpurposeclustercomputingframework
137,Firebase,GoogleFirebase:apowerfulAPItostoreandsyncdatainrealtime
138,Segment,SegmentSQL:TrackyourcustomerdatatoAmazonRedshift
139,Datasaltpangool,DatasaltPangool:alternativeMapReduceparadigm
140,Vahara,Vahara:MachinelearningandnaturallanguageprocessingwithApachePig
141,Shiny,Shiny:webapplicationframeworkforR
142,Autoscale,FacebookAutoscale:theloadbalancerwillconcentrateworkloadtoaserveruntilithasatleastamedium-levelworkload
143,Gospeed,"LinkedInGoSpeed:providesRUMdataprocessing,visualization,monitoring,andanalysesdatadaily,hourly,oronanearreal-timebasis"
144,S3mper,"NetflixS3mper:librarythatprovidesanadditionallayerofconsistencycheckingontopofAmazonsS3indexthroughuseofaconsistent,secondaryindex"
145,Sqrrl,Sqrrl:NoSQLdatabasesontopofApacheAccumulo
146,Wolframalpha,WolframAlpha:computationalknowledgeengine
147,Redissentinel,RedisSentinel:systemdesignedtohelpmanagingRedisinstances
148,Pub/sub,"GoogleCloudPub/Sub:reliable,many-to-many,asynchronousmessaginghostedonGooglesinfrastructure"
149,Gephi,Gephi:Anaward-winningopen-sourceplatformforvisualizingandmanipulatinglargegraphsandnetworkconnections
150,Scalingdata,"ScalingData:tracingdatacenterproblemstorootcause,predictcapacityissues,identifyemergingfailuresandhighlightlatentthreats"
151,Trill,MicrosoftTrill:ahigh-performancein-memoryincrementalanalyticsengine
152,Amplabsplash,AMPLabSplash:ageneralframeworkforparallelizingstochasticlearningalgorithmsonmulti-nodeclusters
153,Phoebus,Phoebus:frameworkforlargescalegraphprocessing
154,Deimos,Deimos:MesoscontainerizerhooksforDocker
155,Kibana,Kibana:visualizelogsandtime-stampeddata
156,Amplabshark,AMPLABShark:datawarehousesystemforSpark
157,Neo4j,Neo4j:graphdatabasewrittingentirelyinJava
158,Dockerswarm,DockerSwarm:nativeclusteringforDocker
159,Freeboard,Freeboard:opensourcereal-timedashboardbuilderforIOTandotherwebmashups
160,Streaming,"ApacheSparkStreaming:frameworkforstreamprocessing,partofSpark"
161,Thingworx,ThingWorx:Rapiddevelopmentandconnectionofintelligentsystems
162,Concurrentlingual,ConcurrentLingual:SQL-likequerylanguageforCascading
163,Datatorrentstram,"DataTorrentStrAM:real-timeengineisdesignedtoenabledistributed,asynchronous,realtimein-memorybig-datacomputationsinasunblockedawayaspossible,withminimaloverheadandimpactonperformance"
164,Datameer,"Datameer:dataanalyticsapplicationforHadoopcombinesself-servicedataintegration,analyticsandvisualization"
165,Bitlynsq,Bit.lyNSQ:realtimedistributedmessageprocessingatscale
166,Actianversant,ActianVersant:commercialobject-orienteddatabasemanagementsystems
167,Point,Clusterpoint:adatabasesoftwareforhigh-speedstorageandlarge-scaleprocessingofXMLandJSONdataonclustersofcommodityhardware
168,Pregel,GooglePregel:graphprocessingframework
169,Flink,"ApacheFlink:high-performanceruntime,andautomaticprogramoptimization"
170,Bookkeeper,ApacheBookKeeper:adistributedloggingservicecalledBookKeeperandadistributedpublish/subscribesystembuiltontopofBookKeepercalledHedwig
171,Parquet,Parquet:columnarstorageformatforHadoop
172,Cayley,GoogleCayley:open-sourcegraphdatabase
173,Mazerunnerforneo4j,MazerunnerforNeo4j:extendsaNeo4jgraphdatabasetorunscheduledbigdatagraphcomputealgorithmsatscalewithHDFSandApacheSpark.
174,Kestrel,Kestrel:distributedmessagequeuesystem
175,Voltagesecuredata,VoltageSecureData:dataprotectionframework
176,Twemcache,TwitterTwemcache:forkofMemcache
177,Drizzle,Drizzle:evolutionofMySQL6.0
178,Coreosfleet,CoreOSFleet:clustermanagementtoolfromCoreOS
179,Highcharts,Highcharts:simpleandflexiblechartingAPI
180,Director,ClouderaDirector:acomprehensivedatamanagementplatformwiththeflexibilityandpowertoevolvewithyourbusiness
181,Springxd,"SpringXD:distributedandextensiblesystemfordataingestion,realtimeanalytics,batchprocessing,anddataexport"
182,Prometheus,Prometheus:anopen-sourceservicemonitoringsystemandtimeseriesdatabase
183,Talend,"Talend:unifiedopensourceenvironmentforYARN,Hadoop,HBASE,Hive,HCatalog&Pig"
184,Distbelief,GoogleDistBelief:softwareframeworkthatcanutilizecomputingclusterswiththousandsofmachinestotrainlargemodels
185,Ebaykylin,eBayKylin:DistributedAnalyticsEnginefromeBayInc.thatprovidesSQLinterfaceandmulti-dimensionalanalysis(OLAP)onHadoopsupportingextremelylargedatasets
186,Jedoxpalo,JedoxPalo:customisableBusinessIntelligenceplatform
187,Crossfilter,Crossfilter:avaScriptlibraryforexploringlargemultivariatedatasetsinthebrowser.Workswellwithdc.jsandd3.js
188,Plotly,"Plot.ly:Easy-to-usewebservicethatallowsforrapidcreationofcomplexcharts,fromheatmapstohistograms.UploaddatatocreateandstylechartswithPlotlysonlinespreadsheet.Forkothersplots."
189,Mapgraph,MapGraph:MassivelyParallelGraphprocessingonGPUs
190,Arvados,Arvados:Spinsawebofmicroservicesaroundunsuspectingsysadmins
191,Snowplow,"Snowplow:enterprise-strengthwebandeventanalytics,poweredbyHadoop,Kinesis,RedshiftandPostgres"
192,Concurrentpattern,ConcurrentPattern:machinelearninglibraryforCascading
193,Lingwater,SparklingWater:combineH2OÕsMachineLearningcapabilitieswiththepoweroftheSparkplatform
194,Phoenix,ApachePhoenix:SQLskinoverHBase
195,Evrything,Evrything:Makingproductssmart
196,Bigquery,"GoogleBigQuery:frameworkforinteractiveanalysis,implementationofDremel"
197,Raven,"RavenDB:Atransactional,open-sourceDocumentDatabase"
198,Nutch,ApacheNutch:opensourcewebcrawler
199,Recordbreaker,RecordBreaker:Automaticstructureforyourtext-formatteddata
200,Ankush,Ankush:Abigdataclustermanagementtoolthatcreatesandmanagesclustersofdifferenttechnologies.
201,Stratioviewer,StratioViewer:dashboardingtool
202,Galene,LinkedInGalene:searcharchitectureatLinkedIn
203,Lipstick,Lipstick:Pigworkflowvisualizationtool
204,Fbcunn,fbcunn:DeepLearningCUDAExtensionsfromFacebookAIResearch
205,Lavastorm,"LavastormAnalytics:usedforauditanalytics,revenueassurance,fraudmanagement,andcustomerexperiencemanagement"
206,Lucene,ApacheLucene:Searchenginelibrary
207,Zalonimica,"ZaloniMica:self-servicedatadiscovery,curation,andgovernance"
208,Develoop,"Develoop:toolforprovisioning,managingandmonitoringApacheHadoop"
209,Sparrow,Sparrow:schedulingplatform
210,Morphlines,"ClouderaMorphlines:frameworkthathelpETLtoSolr,HBaseandHDFS"
211,Flock,TwitterFlockDB:distribuitedgraphdatabase
212,Zookeeper,ApacheZookeeper:centralizedserviceforprocessmanagement
213,Drill,"ApacheDrill:frameworkforinteractiveanalysis,inspiredbyDremel"
214,Redash,Redash:open-sourceplatformtoqueryandvisualizedata
215,Dremel,"GoogleDremel:frameworkforinteractiveanalysis,implementationofDremel"
216,Featurefu,"LinkedInFeatureFu:containsacollectionoflibrary/toolsforadvancedfeatureengineeringtoderivefeaturesontopofotherfeatures,orconvertalightweightedmodelintoafeature"
217,Docker,"Docker:anopenplatformfordevelopersandsysadminstobuild,ship,andrundistributedapplications"
218,Hadapt,Hadapt:anativeimplementationofSQLfortheApacheHadoopopen-sourceproject
219,Simplestorageservice,"AmazonSimpleStorageService:secure,durable,highly-scalableobjectstorage"
220,Pivotalgemfirexd,"PivotalGemFireXD:Low-latency,in-memory,distributedSQLdatastore.ProvidesSQLinterfacetoin-memorytabledata,persistableinHDFS"
221,Beanstalkd,"Beanstalkd:simple,fastworkqueue"
222,Charts,GoogleCharts:simplechartingAPI
223,Tokutek,Tokutek:TokutekclaimstoimproveMongoDBperformance20x
224,Actianfor,ActianSQLforHadoop:highperformanceinteractiveSQLaccesstoallHadoopdata
225,Sqoop,ApacheSqoop:tooltotransferdatabetweenHadoopandastructureddatastore
226,Millwheel,GoogleMillWheel:faulttolerantstreamprocessingframework
227,Myria,Myria:scalableAnalytics-as-a-Serviceplatformbasedonrelationalalgebra
228,Slider,ApacheSlider:isaYARNapplicationtodeployexistingdistributedapplicationsonYARN
229,Ebayoink,eBayOink:RESTbasedinterfaceforPIGexecution
230,Myriad,Myriad:amesosframeworkdesignedforscalingYARNclustersonMesos.MyriadcanexpandorshrinkoneormoreYARNclustersinresponsetoeventsasperconfiguredrulesandpolicies.
231,Stratiocassandra,"StratioCassandra:CassandraindexfunctionalityhasbeenextendedtoprovidenearrealtimesearchsuchasElasticSearchorSolr,includingfulltextsearchcapabilitiesandmultivariable,geospatialandbitemporalsearch"
232,Spotfire,Spotfire:businessintelligenceplatform
233,Stratiocrossdata,StratioCrossdata:providesanunifiedwaytoaccesstomultipledatastores
234,Geotrellis,Geotrellis:geographicdataprocessingengineforhighperformanceapplications
235,Bigobject,BigObject:Real-timeComputingEngineDesignedforBigData
236,Aegisthus,NetflixAegisthus:BulkDataPipelineoutofCassandra.implementsareaderfortheSSTableformatandprovidesamap/reduceprogramtocreateacompactedsnapshotofthedatacontainedinacolumnfamily
237,Blink,"BlinkDB:massivelyparallel,approximatequeryengine"
238,Splicemachine,SpliceMachine:afull-featuredSQL-on-HadoopRDBMSwithACIDtransactions
239,Sumologic,SumoLogic:cloudbasedanalyzerformachine-generateddata.
240,Haystack,FacebookHaystack:objectstoragesystem
241,Actianp,"ActianPSQL:ACID-compliantDBMSdevelopedbyPervasiveSoftware,optimizedforembeddinginapplications"
242,Cubert,LinkedInCubert:afastandefficientbatchcomputationengineforcomplexanalysisandreportingofmassivedatasetsonHadoop
243,Seldon,"Seldon:anopensourcepredictiveanalyticsplatformbaseduponSpark,KafkaandHadoop"
244,Cudnn,cuDNN:GPU-acceleratedlibraryofprimitivesfordeepneuralnetworks
245,Sigmoidspork,SigmoidAnalyticsSpork:PigonApacheSpark
246,Heron,"TwitterHeron:arealtime,distributed,fault-tolerantstreamprocessingenginefromTwitter"
247,Camus,LinkedInCamus:KafkatoHDFSpipeline.ItisamapreducejobthatdoesdistributeddataloadsoutofKafka
248,Algolia,Algolia:HostedSearchAPIthatdeliversinstantandrelevantresultsfromthefirstkeystroke
249,Opents,OpenTSDB:distributedtimeseriesdatabaseontopofHBase
250,Stratiomanager,"StratioManager:install,manageandmonitorallthetechnologystackrelatedtotheStratioPlatform"
251,Hanoi,HanoiDB:ErlangLSMBTreeStorage
